Date,Land Class,Land Category,Commodity,Volume
01/01/2003,Federal,Onshore,Gas Prod Vol (mcf),253491221
01/01/2003,Native American,Onshore,Coal Prod Vol (tons),2400984
01/01/2003,Native American,Onshore,Oil Prod Vol (bbl),999810
01/01/2003,Federal,Offshore,Oil Prod Vol (bbl),51902059
01/01/2003,Native American,Onshore,Gas Prod Vol (mcf),33558379
01/01/2003,Federal,Offshore,Gas Prod Vol (mcf),388885159
01/01/2003,Federal,Onshore,Coal Prod Vol (tons),37822686
01/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8403385
02/01/2003,Federal,Offshore,Oil Prod Vol (bbl),47525873
02/01/2003,Federal,Onshore,Coal Prod Vol (tons),33743641
02/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7488224
02/01/2003,Federal,Onshore,Gas Prod Vol (mcf),233822369
02/01/2003,Federal,Offshore,Gas Prod Vol (mcf),357119934
02/01/2003,Native American,Onshore,Gas Prod Vol (mcf),29708940
02/01/2003,Native American,Onshore,Oil Prod Vol (bbl),898850
02/01/2003,Native American,Onshore,Coal Prod Vol (tons),2329191
03/01/2003,Native American,Onshore,Oil Prod Vol (bbl),962985
03/01/2003,Native American,Onshore,Coal Prod Vol (tons),2144013
03/01/2003,Federal,Offshore,Oil Prod Vol (bbl),52454020
03/01/2003,Federal,Onshore,Gas Prod Vol (mcf),256821068
03/01/2003,Federal,Onshore,Coal Prod Vol (tons),34916953
03/01/2003,Federal,Offshore,Gas Prod Vol (mcf),403639747
03/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8331285
03/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32567382
04/01/2003,Native American,Onshore,Coal Prod Vol (tons),2526695
04/01/2003,Native American,Onshore,Gas Prod Vol (mcf),30727241
04/01/2003,Native American,Onshore,Oil Prod Vol (bbl),935429
04/01/2003,Federal,Onshore,Gas Prod Vol (mcf),242613844
04/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7923496
04/01/2003,Federal,Onshore,Coal Prod Vol (tons),35430343
04/01/2003,Federal,Offshore,Gas Prod Vol (mcf),392050292
04/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49826417
05/01/2003,Federal,Onshore,Coal Prod Vol (tons),36677762
05/01/2003,Federal,Offshore,Oil Prod Vol (bbl),50378496
05/01/2003,Native American,Onshore,Oil Prod Vol (bbl),949522
